observable,mass_bin_lo,mass_bin_hi,n_halos,sigma_truth,sigma_BIND_inter,sigma_BIND_total,rel_err
M_dm,1.00e+13,3.16e+13,861,0.176721,0.176722,0.176728,0.0000
M_dm,3.16e+13,1.00e+14,241,0.153307,0.153456,0.153226,0.0005
M_dm,1.00e+14,6.31e+14,52,0.197238,0.197409,0.195724,0.0077
M_gas,1.00e+13,3.16e+13,861,0.230354,0.223874,0.225702,0.0202
M_gas,3.16e+13,1.00e+14,241,0.172927,0.168584,0.168951,0.0230
M_gas,1.00e+14,6.31e+14,52,0.203523,0.200958,0.199519,0.0197
M_star,1.00e+13,3.16e+13,861,0.193463,0.177996,0.187570,0.0305
M_star,3.16e+13,1.00e+14,241,0.164102,0.159275,0.165334,0.0075
M_star,1.00e+14,6.31e+14,52,0.191162,0.174025,0.176883,0.0747
f_b,1.00e+13,3.16e+13,861,0.015254,0.012983,0.014425,0.0543
f_b,3.16e+13,1.00e+14,241,0.010010,0.007678,0.008659,0.1350
f_b,1.00e+14,6.31e+14,52,0.006228,0.005574,0.006381,0.0246
f_b_norm,1.00e+13,3.16e+13,861,0.093394,0.079490,0.088319,0.0543
f_b_norm,3.16e+13,1.00e+14,241,0.061286,0.047005,0.053014,0.1350
f_b_norm,1.00e+14,6.31e+14,52,0.038128,0.034126,0.039068,0.0246
Rc_over_R200,1.00e+13,3.16e+13,861,0.675758,0.552366,0.630099,0.0676
Rc_over_R200,3.16e+13,1.00e+14,241,0.417000,0.334321,0.384293,0.0784
Rc_over_R200,1.00e+14,6.31e+14,52,0.215947,0.198667,0.249149,0.1538
q_DM,1.00e+13,3.16e+13,861,0.150651,0.139921,0.148910,0.0116
q_DM,3.16e+13,1.00e+14,241,0.139240,0.141220,0.144723,0.0394
q_DM,1.00e+14,6.31e+14,52,0.134538,0.136969,0.137522,0.0222
q_gas,1.00e+13,3.16e+13,861,0.113112,0.092915,0.114822,0.0151
q_gas,3.16e+13,1.00e+14,241,0.084874,0.077977,0.089012,0.0488
q_gas,1.00e+14,6.31e+14,52,0.092899,0.086055,0.093845,0.0102
q_star,1.00e+13,3.16e+13,861,0.195046,0.156790,0.195468,0.0022
q_star,3.16e+13,1.00e+14,241,0.205877,0.174023,0.204422,0.0071
q_star,1.00e+14,6.31e+14,52,0.158008,0.153263,0.175429,0.1103
dq_DM,1.00e+13,3.16e+13,861,0.069997,0.037777,0.063578,0.0917
dq_DM,3.16e+13,1.00e+14,241,0.046869,0.027259,0.042620,0.0907
dq_DM,1.00e+14,6.31e+14,52,0.027988,0.020946,0.030137,0.0768
Sigma_gas_c,1.00e+13,3.16e+13,861,0.184363,0.165833,0.178460,0.0320
Sigma_gas_c,3.16e+13,1.00e+14,241,0.161422,0.159872,0.165942,0.0280
Sigma_gas_c,1.00e+14,6.31e+14,52,0.183698,0.172988,0.180165,0.0192
Sigma_gas_r0,1.00e+13,3.16e+13,861,0.190197,0.163200,0.184430,0.0303
Sigma_gas_r0,3.16e+13,1.00e+14,241,0.161325,0.159169,0.165917,0.0285
Sigma_gas_r0,1.00e+14,6.31e+14,52,0.183698,0.172988,0.180165,0.0192
Sigma_gas_r1,1.00e+13,3.16e+13,861,0.179471,0.159883,0.173010,0.0360
Sigma_gas_r1,3.16e+13,1.00e+14,241,0.145077,0.141342,0.146552,0.0102
Sigma_gas_r1,1.00e+14,6.31e+14,52,0.133439,0.123842,0.127566,0.0440
Sigma_gas_r2,1.00e+13,3.16e+13,861,0.173843,0.161874,0.169753,0.0235
Sigma_gas_r2,3.16e+13,1.00e+14,241,0.127719,0.121004,0.124449,0.0256
Sigma_gas_r2,1.00e+14,6.31e+14,52,0.099042,0.089879,0.091620,0.0749
Sigma_gas_r3,1.00e+13,3.16e+13,861,0.170731,0.163434,0.167749,0.0175
Sigma_gas_r3,3.16e+13,1.00e+14,241,0.108039,0.101806,0.103751,0.0397
Sigma_gas_r3,1.00e+14,6.31e+14,52,0.084165,0.079826,0.080872,0.0391
Sigma_gas_r4,1.00e+13,3.16e+13,861,0.170654,0.163778,0.165796,0.0285
Sigma_gas_r4,3.16e+13,1.00e+14,241,0.109977,0.106932,0.108015,0.0178
Sigma_gas_r4,1.00e+14,6.31e+14,52,0.104818,0.102262,0.102566,0.0215
